epsilon1 epsilon2 fB
-0.809 3.869 0.60
-0.809 3.909 0.60
-0.809 3.949 0.60
-0.809 3.990 0.60
-0.809 4.030 0.60
-0.809 4.071 0.60
-0.809 4.111 0.60
-0.809 4.152 0.60
-0.809 4.192 0.60
-0.809 4.232 0.60
-0.809 4.273 0.60
-0.809 4.313 0.60
-0.809 4.354 0.60
-0.809 4.394 0.60
-0.809 4.434 0.60
-0.809 4.475 0.60
-0.809 4.515 0.60
-0.809 4.556 0.60
-0.809 4.596 0.60
-0.809 4.636 0.60
-0.809 4.677 0.60
-0.809 4.717 0.60
-0.809 4.758 0.60
-0.809 4.798 0.60
-0.809 4.838 0.60
-0.809 4.879 0.60
-0.809 4.919 0.60
-0.809 4.960 0.60
-0.809 5.000 0.60
-0.800 1.000 0.60
-0.800 1.040 0.60
-0.800 1.081 0.60
-0.800 1.121 0.60
-0.800 1.162 0.60
-0.800 1.202 0.60
-0.800 1.242 0.60
-0.800 1.283 0.60
-0.800 1.323 0.60
-0.800 1.364 0.60
-0.800 1.404 0.60
-0.800 1.444 0.60
-0.800 1.485 0.60
-0.800 1.525 0.60
-0.800 1.566 0.60
-0.800 1.606 0.60
-0.800 1.646 0.60
-0.800 1.687 0.60
-0.800 1.727 0.60
-0.800 1.768 0.60
-0.800 1.808 0.60
-0.800 1.848 0.60
-0.800 1.889 0.60
-0.800 1.929 0.60
-0.800 1.970 0.60
-0.800 2.010 0.60
-0.800 2.051 0.60
-0.800 2.091 0.60
-0.800 2.131 0.60
-0.800 2.172 0.60
-0.800 2.212 0.60
-0.800 2.253 0.60
-0.800 2.293 0.60
-0.800 2.333 0.60
-0.800 2.374 0.60
-0.800 2.414 0.60
-0.800 2.455 0.60
-0.800 2.495 0.60
-0.800 2.535 0.60
-0.800 2.576 0.60
-0.800 2.616 0.60
-0.800 2.657 0.60
-0.800 2.697 0.60
-0.800 2.737 0.60
-0.800 2.778 0.60
-0.800 2.818 0.60
-0.800 2.859 0.60
-0.800 2.899 0.60
-0.800 2.939 0.60
-0.800 2.980 0.60
-0.800 3.020 0.60
-0.800 3.061 0.60
-0.800 3.101 0.60
-0.800 3.141 0.60
-0.800 3.182 0.60
-0.800 3.222 0.60
-0.800 3.263 0.60
-0.800 3.303 0.60
-0.800 3.343 0.60
-0.800 3.384 0.60
-0.800 3.424 0.60
-0.800 3.465 0.60
-0.800 3.505 0.60
-0.800 3.545 0.60
-0.800 3.586 0.60
-0.800 3.626 0.60
-0.800 3.667 0.60
-0.800 3.707 0.60
-0.800 3.747 0.60
-0.800 3.788 0.60
-0.800 3.828 0.60
-0.800 3.869 0.60
-0.800 3.909 0.60
-0.800 3.949 0.60
-0.800 3.990 0.60
-0.800 4.030 0.60
-0.800 4.071 0.60
-0.800 4.111 0.60
-0.800 4.152 0.60
-0.800 4.192 0.60
-0.800 4.232 0.60
-0.800 4.273 0.60
-0.800 4.313 0.60
-0.800 4.354 0.60
-0.800 4.394 0.60
-0.800 4.434 0.60
-0.800 4.475 0.60
-0.800 4.515 0.60
-0.800 4.556 0.60
-0.800 4.596 0.60
-0.800 4.636 0.60
-0.800 4.677 0.60
-0.800 4.717 0.60
-0.800 4.758 0.60
-0.800 4.798 0.60
-0.800 4.838 0.60
-0.800 4.879 0.60
-0.800 4.919 0.60
-0.800 4.960 0.60
-0.800 5.000 0.60
-0.791 1.000 0.60
-0.791 1.040 0.60
-0.791 1.081 0.60
-0.791 1.121 0.60
-0.791 1.162 0.60
-0.791 1.202 0.60
-0.791 1.242 0.60
-0.791 1.283 0.60
-0.791 1.323 0.60
-0.791 1.364 0.60
-0.791 1.404 0.60
-0.791 1.444 0.60
-0.791 1.485 0.60
-0.791 1.525 0.60
-0.791 1.566 0.60
-0.791 1.606 0.60
-0.791 1.646 0.60
-0.791 1.687 0.60
-0.791 1.727 0.60
-0.791 1.768 0.60
-0.791 1.808 0.60
-0.791 1.848 0.60
-0.791 1.889 0.60
-0.791 1.929 0.60
-0.791 1.970 0.60
-0.791 2.010 0.60
-0.791 2.051 0.60
-0.791 2.091 0.60
-0.791 2.131 0.60
-0.791 2.172 0.60
-0.791 2.212 0.60
-0.791 2.253 0.60
-0.791 2.293 0.60
-0.791 2.333 0.60
-0.791 2.374 0.60
-0.791 2.414 0.60
-0.791 2.455 0.60
-0.791 2.495 0.60
-0.791 2.535 0.60
-0.791 2.576 0.60
-0.791 2.616 0.60
-0.791 2.657 0.60
-0.791 2.697 0.60
-0.791 2.737 0.60
-0.791 2.778 0.60
-0.791 2.818 0.60
-0.791 2.859 0.60
-0.791 2.899 0.60
-0.791 2.939 0.60
-0.791 2.980 0.60
-0.791 3.020 0.60
-0.791 3.061 0.60
-0.791 3.101 0.60
-0.791 3.141 0.60
-0.791 3.182 0.60
-0.791 3.222 0.60
-0.791 3.263 0.60
-0.791 3.303 0.60
-0.791 3.343 0.60
-0.791 3.384 0.60
-0.791 3.424 0.60
-0.791 3.465 0.60
-0.791 3.505 0.60
-0.791 3.545 0.60
-0.791 3.586 0.60
-0.791 3.626 0.60
-0.791 3.667 0.60
-0.791 3.707 0.60
-0.791 3.747 0.60
-0.791 3.788 0.60
-0.791 3.828 0.60
-0.791 3.869 0.60
-0.791 3.909 0.60
-0.791 3.949 0.60
-0.791 3.990 0.60
-0.791 4.030 0.60
-0.791 4.071 0.60
-0.791 4.111 0.60
-0.791 4.152 0.60
-0.791 4.192 0.60
-0.791 4.232 0.60
-0.791 4.273 0.60
-0.791 4.313 0.60
-0.791 4.354 0.60
-0.791 4.394 0.60
-0.791 4.434 0.60
-0.791 4.475 0.60
-0.791 4.515 0.60
-0.791 4.556 0.60
-0.791 4.596 0.60
-0.791 4.636 0.60
-0.791 4.677 0.60
-0.791 4.717 0.60
-0.791 4.758 0.60
-0.791 4.798 0.60
-0.791 4.838 0.60
-0.791 4.879 0.60
-0.791 4.919 0.60
-0.791 4.960 0.60
-0.791 5.000 0.60
-0.782 1.000 0.60
-0.782 1.040 0.60
-0.782 1.081 0.60
-0.782 1.121 0.60
-0.782 1.162 0.60
-0.782 1.202 0.60
-0.782 1.242 0.60
-0.782 1.283 0.60
-0.782 1.323 0.60
-0.782 1.364 0.60
-0.782 1.404 0.60
-0.782 1.444 0.60
-0.782 1.485 0.60
-0.782 1.525 0.60
-0.782 1.566 0.60
-0.782 1.606 0.60
-0.782 1.646 0.60
-0.782 1.687 0.60
-0.782 1.727 0.60
-0.782 1.768 0.60
-0.782 1.808 0.60
-0.782 1.848 0.60
-0.782 1.889 0.60
-0.782 1.929 0.60
-0.782 1.970 0.60
-0.782 2.010 0.60
-0.782 2.051 0.60
-0.782 2.091 0.60
-0.782 2.131 0.60
-0.782 2.172 0.60
-0.782 2.212 0.60
-0.782 2.253 0.60
-0.782 2.293 0.60
-0.782 2.333 0.60
-0.782 2.374 0.60
-0.782 2.414 0.60
-0.782 2.455 0.60
-0.782 2.495 0.60
-0.782 2.535 0.60
-0.782 2.576 0.60
-0.782 2.616 0.60
-0.782 2.657 0.60
-0.782 2.697 0.60
-0.782 2.737 0.60
-0.782 2.778 0.60
-0.782 2.818 0.60
-0.782 2.859 0.60
-0.782 2.899 0.60
-0.782 2.939 0.60
-0.782 2.980 0.60
-0.782 3.020 0.60
-0.782 3.061 0.60
-0.782 3.101 0.60
-0.782 3.141 0.60
-0.782 3.182 0.60
-0.782 3.222 0.60
-0.782 3.263 0.60
-0.782 3.303 0.60
-0.782 3.343 0.60
-0.782 3.384 0.60
-0.782 3.424 0.60
-0.782 3.465 0.60
-0.782 3.505 0.60
-0.782 3.545 0.60
-0.782 3.586 0.60
-0.782 3.626 0.60
-0.782 3.667 0.60
-0.782 3.707 0.60
-0.782 3.747 0.60
-0.782 3.788 0.60
-0.782 3.828 0.60
-0.782 3.869 0.60
-0.782 3.909 0.60
-0.782 3.949 0.60
-0.782 3.990 0.60
-0.782 4.030 0.60
-0.782 4.071 0.60
-0.782 4.111 0.60
-0.782 4.152 0.60
-0.782 4.192 0.60
-0.782 4.232 0.60
-0.782 4.273 0.60
-0.782 4.313 0.60
-0.782 4.354 0.60
-0.782 4.394 0.60
-0.782 4.434 0.60
-0.782 4.475 0.60
-0.782 4.515 0.60
-0.782 4.556 0.60
-0.782 4.596 0.60
-0.782 4.636 0.60
-0.782 4.677 0.60
-0.782 4.717 0.60
-0.782 4.758 0.60
-0.782 4.798 0.60
-0.782 4.838 0.60
-0.782 4.879 0.60
-0.782 4.919 0.60
-0.782 4.960 0.60
-0.782 5.000 0.60
-0.773 1.000 0.60
-0.773 1.040 0.60
-0.773 1.081 0.60
-0.773 1.121 0.60
-0.773 1.162 0.60
-0.773 1.202 0.60
-0.773 1.242 0.60
-0.773 1.283 0.60
-0.773 1.323 0.60
-0.773 1.364 0.60
-0.773 1.404 0.60
-0.773 1.444 0.60
-0.773 1.485 0.60
-0.773 1.525 0.60
-0.773 1.566 0.60
-0.773 1.606 0.60
-0.773 1.646 0.60
-0.773 1.687 0.60
-0.773 1.727 0.60
-0.773 1.768 0.60
-0.773 1.808 0.60
-0.773 1.848 0.60
-0.773 1.889 0.60
-0.773 1.929 0.60
-0.773 1.970 0.60
-0.773 2.010 0.60
-0.773 2.051 0.60
-0.773 2.091 0.60
-0.773 2.131 0.60
-0.773 2.172 0.60
-0.773 2.212 0.60
-0.773 2.253 0.60
-0.773 2.293 0.60
-0.773 2.333 0.60
-0.773 2.374 0.60
-0.773 2.414 0.60
-0.773 2.455 0.60
-0.773 2.495 0.60
-0.773 2.535 0.60
-0.773 2.576 0.60
-0.773 2.616 0.60
-0.773 2.657 0.60
-0.773 2.697 0.60
-0.773 2.737 0.60
-0.773 2.778 0.60
-0.773 2.818 0.60
-0.773 2.859 0.60
-0.773 2.899 0.60
-0.773 2.939 0.60
-0.773 2.980 0.60
-0.773 3.020 0.60
-0.773 3.061 0.60
-0.773 3.101 0.60
-0.773 3.141 0.60
-0.773 3.182 0.60
-0.773 3.222 0.60
-0.773 3.263 0.60
-0.773 3.303 0.60
-0.773 3.343 0.60
-0.773 3.384 0.60
-0.773 3.424 0.60
-0.773 3.465 0.60
-0.773 3.505 0.60
-0.773 3.545 0.60
-0.773 3.586 0.60
-0.773 3.626 0.60
-0.773 3.667 0.60
-0.773 3.707 0.60
-0.773 3.747 0.60
-0.773 3.788 0.60
-0.773 3.828 0.60
-0.773 3.869 0.60
-0.773 3.909 0.60
-0.773 3.949 0.60
-0.773 3.990 0.60
-0.773 4.030 0.60
-0.773 4.071 0.60
-0.773 4.111 0.60
-0.773 4.152 0.60
-0.773 4.192 0.60
-0.773 4.232 0.60
-0.773 4.273 0.60
-0.773 4.313 0.60
-0.773 4.354 0.60
-0.773 4.394 0.60
-0.773 4.434 0.60
-0.773 4.475 0.60
-0.773 4.515 0.60
-0.773 4.556 0.60
-0.773 4.596 0.60
-0.773 4.636 0.60
-0.773 4.677 0.60
-0.773 4.717 0.60
-0.773 4.758 0.60
-0.773 4.798 0.60
-0.773 4.838 0.60
-0.773 4.879 0.60
-0.773 4.919 0.60
-0.773 4.960 0.60
-0.773 5.000 0.60
-0.764 1.000 0.60
-0.764 1.040 0.60
-0.764 1.081 0.60
-0.764 1.121 0.60
-0.764 1.162 0.60
-0.764 1.202 0.60
-0.764 1.242 0.60
-0.764 1.283 0.60
-0.764 1.323 0.60
-0.764 1.364 0.60
-0.764 1.404 0.60
-0.764 1.444 0.60
-0.764 1.485 0.60
-0.764 1.525 0.60
-0.764 1.566 0.60
-0.764 1.606 0.60
-0.764 1.646 0.60
-0.764 1.687 0.60
-0.764 1.727 0.60
-0.764 1.768 0.60
-0.764 1.808 0.60
-0.764 1.848 0.60
-0.764 1.889 0.60
-0.764 1.929 0.60
-0.764 1.970 0.60
-0.764 2.010 0.60
-0.764 2.051 0.60
-0.764 2.091 0.60
-0.764 2.131 0.60
-0.764 2.172 0.60
-0.764 2.212 0.60
-0.764 2.253 0.60
-0.764 2.293 0.60
-0.764 2.333 0.60
-0.764 2.374 0.60
-0.764 2.414 0.60
-0.764 2.455 0.60
-0.764 2.495 0.60
-0.764 2.535 0.60
-0.764 2.576 0.60
-0.764 2.616 0.60
-0.764 2.657 0.60
-0.764 2.697 0.60
-0.764 2.737 0.60
-0.764 2.778 0.60
-0.764 2.818 0.60
-0.764 2.859 0.60
-0.764 2.899 0.60
-0.764 2.939 0.60
-0.764 2.980 0.60
-0.764 3.020 0.60
-0.764 3.061 0.60
-0.764 3.101 0.60
-0.764 3.141 0.60
-0.764 3.182 0.60
-0.764 3.222 0.60
-0.764 3.263 0.60
-0.764 3.303 0.60
-0.764 3.343 0.60
-0.764 3.384 0.60
-0.764 3.424 0.60
-0.764 3.465 0.60
-0.764 3.505 0.60
-0.764 3.545 0.60
-0.764 3.586 0.60
-0.764 3.626 0.60
-0.764 3.667 0.60
-0.764 3.707 0.60
-0.764 3.747 0.60
-0.764 3.788 0.60
-0.764 3.828 0.60
-0.764 3.869 0.60
-0.764 3.909 0.60
-0.764 3.949 0.60
-0.764 3.990 0.60
-0.764 4.030 0.60
-0.764 4.071 0.60
-0.764 4.111 0.60
-0.764 4.152 0.60
-0.764 4.192 0.60
-0.764 4.232 0.60
-0.764 4.273 0.60
-0.764 4.313 0.60
-0.764 4.354 0.60
-0.764 4.394 0.60
-0.764 4.434 0.60
-0.764 4.475 0.60
-0.764 4.515 0.60
-0.764 4.556 0.60
-0.764 4.596 0.60
-0.764 4.636 0.60
-0.764 4.677 0.60
-0.764 4.717 0.60
-0.764 4.758 0.60
-0.764 4.798 0.60
-0.764 4.838 0.60
-0.764 4.879 0.60
-0.764 4.919 0.60
-0.764 4.960 0.60
-0.764 5.000 0.60
-0.755 1.000 0.60
-0.755 1.040 0.60
-0.755 1.081 0.60
-0.755 1.121 0.60
-0.755 1.162 0.60
-0.755 1.202 0.60
-0.755 1.242 0.60
-0.755 1.283 0.60
-0.755 1.323 0.60
-0.755 1.364 0.60
-0.755 1.404 0.60
-0.755 1.444 0.60
-0.755 1.485 0.60
-0.755 1.525 0.60
-0.755 1.566 0.60
-0.755 1.606 0.60
-0.755 1.646 0.60
-0.755 1.687 0.60
-0.755 1.727 0.60
-0.755 1.768 0.60
-0.755 1.808 0.60
-0.755 1.848 0.60
-0.755 1.889 0.60
-0.755 1.929 0.60
-0.755 1.970 0.60
-0.755 2.010 0.60
-0.755 2.051 0.60
-0.755 2.091 0.60
-0.755 2.131 0.60
-0.755 2.172 0.60
-0.755 2.212 0.60
-0.755 2.253 0.60
-0.755 2.293 0.60
-0.755 2.333 0.60
-0.755 2.374 0.60
-0.755 2.414 0.60
-0.755 2.455 0.60
-0.755 2.495 0.60
-0.755 2.535 0.60
-0.755 2.576 0.60
-0.755 2.616 0.60
-0.755 2.657 0.60
-0.755 2.697 0.60
-0.755 2.737 0.60
-0.755 2.778 0.60
-0.755 2.818 0.60
-0.755 2.859 0.60
-0.755 2.899 0.60
-0.755 2.939 0.60
-0.755 2.980 0.60
-0.755 3.020 0.60
-0.755 3.061 0.60
-0.755 3.101 0.60
-0.755 3.141 0.60
-0.755 3.182 0.60
-0.755 3.222 0.60
-0.755 3.263 0.60
-0.755 3.303 0.60
-0.755 3.343 0.60
-0.755 3.384 0.60
-0.755 3.424 0.60
-0.755 3.465 0.60
-0.755 3.505 0.60
-0.755 3.545 0.60
-0.755 3.586 0.60
-0.755 3.626 0.60
-0.755 3.667 0.60
-0.755 3.707 0.60
-0.755 3.747 0.60
-0.755 3.788 0.60
-0.755 3.828 0.60
-0.755 3.869 0.60
-0.755 3.909 0.60
-0.755 3.949 0.60
-0.755 3.990 0.60
-0.755 4.030 0.60
-0.755 4.071 0.60
-0.755 4.111 0.60
-0.755 4.152 0.60
-0.755 4.192 0.60
-0.755 4.232 0.60
-0.755 4.273 0.60
-0.755 4.313 0.60
-0.755 4.354 0.60
-0.755 4.394 0.60
-0.755 4.434 0.60
-0.755 4.475 0.60
-0.755 4.515 0.60
-0.755 4.556 0.60
-0.755 4.596 0.60
-0.755 4.636 0.60
-0.755 4.677 0.60
-0.755 4.717 0.60
-0.755 4.758 0.60
-0.755 4.798 0.60
-0.755 4.838 0.60
-0.755 4.879 0.60
-0.755 4.919 0.60
-0.755 4.960 0.60
-0.755 5.000 0.60
-0.745 1.000 0.60
-0.745 1.040 0.60
-0.745 1.081 0.60
-0.745 1.121 0.60
-0.745 1.162 0.60
-0.745 1.202 0.60
-0.745 1.242 0.60
-0.745 1.283 0.60
-0.745 1.323 0.60
-0.745 1.364 0.60
-0.745 1.404 0.60
-0.745 1.444 0.60
-0.745 1.485 0.60
-0.745 1.525 0.60
-0.745 1.566 0.60
-0.745 1.606 0.60
-0.745 1.646 0.60
-0.745 1.687 0.60
-0.745 1.727 0.60
-0.745 1.768 0.60
-0.745 1.808 0.60
-0.745 1.848 0.60
-0.745 1.889 0.60
-0.745 1.929 0.60
-0.745 1.970 0.60
-0.745 2.010 0.60
-0.745 2.051 0.60
-0.745 2.091 0.60
-0.745 2.131 0.60
-0.745 2.172 0.60
-0.745 2.212 0.60
-0.745 2.253 0.60
-0.745 2.293 0.60
-0.745 2.333 0.60
-0.745 2.374 0.60
-0.745 2.414 0.60
-0.745 2.455 0.60
-0.745 2.495 0.60
-0.745 2.535 0.60
-0.745 2.576 0.60
-0.745 2.616 0.60
-0.745 2.657 0.60
-0.745 2.697 0.60
-0.745 2.737 0.60
-0.745 2.778 0.60
-0.745 2.818 0.60
-0.745 2.859 0.60
-0.745 2.899 0.60
-0.745 2.939 0.60
-0.745 2.980 0.60
-0.745 3.020 0.60
-0.745 3.061 0.60
-0.745 3.101 0.60
-0.745 3.141 0.60
-0.745 3.182 0.60
-0.745 3.222 0.60
-0.745 3.263 0.60
-0.745 3.303 0.60
-0.745 3.343 0.60
-0.745 3.384 0.60
-0.745 3.424 0.60
-0.745 3.465 0.60
-0.745 3.505 0.60
-0.745 3.545 0.60
-0.745 3.586 0.60
-0.745 3.626 0.60
-0.745 3.667 0.60
-0.745 3.707 0.60
-0.745 3.747 0.60
-0.745 3.788 0.60
-0.745 3.828 0.60
-0.745 3.869 0.60
-0.745 3.909 0.60
-0.745 3.949 0.60
-0.745 3.990 0.60
-0.745 4.030 0.60
-0.745 4.071 0.60
-0.745 4.111 0.60
-0.745 4.152 0.60
-0.745 4.192 0.60
-0.745 4.232 0.60
-0.745 4.273 0.60
-0.745 4.313 0.60
-0.745 4.354 0.60
-0.745 4.394 0.60
-0.745 4.434 0.60
-0.745 4.475 0.60
-0.745 4.515 0.60
-0.745 4.556 0.60
-0.745 4.596 0.60
-0.745 4.636 0.60
-0.745 4.677 0.60
-0.745 4.717 0.60
-0.745 4.758 0.60
-0.745 4.798 0.60
-0.745 4.838 0.60
-0.745 4.879 0.60
-0.745 4.919 0.60
-0.745 4.960 0.60
-0.745 5.000 0.60
-0.736 1.000 0.60
-0.736 1.040 0.60
-0.736 1.081 0.60
-0.736 1.121 0.60
-0.736 1.162 0.60
-0.736 1.202 0.60
-0.736 1.242 0.60
-0.736 1.283 0.60
-0.736 1.323 0.60
-0.736 1.364 0.60
-0.736 1.404 0.60
-0.736 1.444 0.60
-0.736 1.485 0.60
-0.736 1.525 0.60
-0.736 1.566 0.60
-0.736 1.606 0.60
-0.736 1.646 0.60
-0.736 1.687 0.60
-0.736 1.727 0.60
-0.736 1.768 0.60
-0.736 1.808 0.60
-0.736 1.848 0.60
-0.736 1.889 0.60
-0.736 1.929 0.60
-0.736 1.970 0.60
-0.736 2.010 0.60
-0.736 2.051 0.60
-0.736 2.091 0.60
-0.736 2.131 0.60
-0.736 2.172 0.60
-0.736 2.212 0.60
-0.736 2.253 0.60
-0.736 2.293 0.60
-0.736 2.333 0.60
-0.736 2.374 0.60
-0.736 2.414 0.60
-0.736 2.455 0.60
-0.736 2.495 0.60
-0.736 2.535 0.60
-0.736 2.576 0.60
-0.736 2.616 0.60
-0.736 2.657 0.60
-0.736 2.697 0.60
-0.736 2.737 0.60
-0.736 2.778 0.60
-0.736 2.818 0.60
-0.736 2.859 0.60
-0.736 2.899 0.60
-0.736 2.939 0.60
-0.736 2.980 0.60
-0.736 3.020 0.60
-0.736 3.061 0.60
-0.736 3.101 0.60
-0.736 3.141 0.60
-0.736 3.182 0.60
-0.736 3.222 0.60
-0.736 3.263 0.60
-0.736 3.303 0.60
-0.736 3.343 0.60
-0.736 3.384 0.60
-0.736 3.424 0.60
-0.736 3.465 0.60
-0.736 3.505 0.60
-0.736 3.545 0.60
-0.736 3.586 0.60
-0.736 3.626 0.60
-0.736 3.667 0.60
-0.736 3.707 0.60
-0.736 3.747 0.60
-0.736 3.788 0.60
-0.736 3.828 0.60
-0.736 3.869 0.60
-0.736 3.909 0.60
-0.736 3.949 0.60
-0.736 3.990 0.60
-0.736 4.030 0.60
-0.736 4.071 0.60
-0.736 4.111 0.60
-0.736 4.152 0.60
-0.736 4.192 0.60
-0.736 4.232 0.60
-0.736 4.273 0.60
-0.736 4.313 0.60
-0.736 4.354 0.60
-0.736 4.394 0.60
-0.736 4.434 0.60
-0.736 4.475 0.60
-0.736 4.515 0.60
-0.736 4.556 0.60
-0.736 4.596 0.60
-0.736 4.636 0.60
-0.736 4.677 0.60
-0.736 4.717 0.60
-0.736 4.758 0.60
-0.736 4.798 0.60
-0.736 4.838 0.60
-0.736 4.879 0.60
-0.736 4.919 0.60
-0.736 4.960 0.60
-0.736 5.000 0.60
-0.727 1.000 0.60
-0.727 1.040 0.60
-0.727 1.081 0.60
-0.727 1.121 0.60
-0.727 1.162 0.60
-0.727 1.202 0.60
-0.727 1.242 0.60
-0.727 1.283 0.60
-0.727 1.323 0.60
-0.727 1.364 0.60
-0.727 1.404 0.60
-0.727 1.444 0.60
-0.727 1.485 0.60
-0.727 1.525 0.60
-0.727 1.566 0.60
-0.727 1.606 0.60
-0.727 1.646 0.60
-0.727 1.687 0.60
-0.727 1.727 0.60
-0.727 1.768 0.60
-0.727 1.808 0.60
-0.727 1.848 0.60
-0.727 1.889 0.60
-0.727 1.929 0.60
-0.727 1.970 0.60
-0.727 2.010 0.60
-0.727 2.051 0.60
-0.727 2.091 0.60
-0.727 2.131 0.60
-0.727 2.172 0.60
-0.727 2.212 0.60
-0.727 2.253 0.60
-0.727 2.293 0.60
-0.727 2.333 0.60
-0.727 2.374 0.60
-0.727 2.414 0.60
-0.727 2.455 0.60
-0.727 2.495 0.60
-0.727 2.535 0.60
-0.727 2.576 0.60
-0.727 2.616 0.60
-0.727 2.657 0.60
-0.727 2.697 0.60
-0.727 2.737 0.60
-0.727 2.778 0.60
-0.727 2.818 0.60
-0.727 2.859 0.60
-0.727 2.899 0.60
-0.727 2.939 0.60
-0.727 2.980 0.60
-0.727 3.020 0.60
-0.727 3.061 0.60
-0.727 3.101 0.60
-0.727 3.141 0.60
-0.727 3.182 0.60
-0.727 3.222 0.60
-0.727 3.263 0.60
-0.727 3.303 0.60
-0.727 3.343 0.60
-0.727 3.384 0.60
-0.727 3.424 0.60
-0.727 3.465 0.60
-0.727 3.505 0.60
-0.727 3.545 0.60
-0.727 3.586 0.60
-0.727 3.626 0.60
-0.727 3.667 0.60
-0.727 3.707 0.60
-0.727 3.747 0.60
-0.727 3.788 0.60
-0.727 3.828 0.60
-0.727 3.869 0.60
-0.727 3.909 0.60
-0.727 3.949 0.60
-0.727 3.990 0.60
-0.727 4.030 0.60
-0.727 4.071 0.60
-0.727 4.111 0.60
-0.727 4.152 0.60
-0.727 4.192 0.60
-0.727 4.232 0.60
-0.727 4.273 0.60
-0.727 4.313 0.60
-0.727 4.354 0.60
-0.727 4.394 0.60
-0.727 4.434 0.60
-0.727 4.475 0.60
-0.727 4.515 0.60
-0.727 4.556 0.60
-0.727 4.596 0.60
-0.727 4.636 0.60
-0.727 4.677 0.60
-0.727 4.717 0.60
-0.727 4.758 0.60
-0.727 4.798 0.60
-0.727 4.838 0.60
-0.727 4.879 0.60
-0.727 4.919 0.60
-0.727 4.960 0.60
-0.727 5.000 0.60
-0.718 1.000 0.60
-0.718 1.040 0.60
-0.718 1.081 0.60
-0.718 1.121 0.60
-0.718 1.162 0.60
-0.718 1.202 0.60
-0.718 1.242 0.60
-0.718 1.283 0.60
-0.718 1.323 0.60
-0.718 1.364 0.60
-0.718 1.404 0.60
-0.718 1.444 0.60
-0.718 1.485 0.60
-0.718 1.525 0.60
-0.718 1.566 0.60
-0.718 1.606 0.60
-0.718 1.646 0.60
-0.718 1.687 0.60
-0.718 1.727 0.60
-0.718 1.768 0.60
-0.718 1.808 0.60
-0.718 1.848 0.60
-0.718 1.889 0.60
-0.718 1.929 0.60
-0.718 1.970 0.60
-0.718 2.010 0.60
-0.718 2.051 0.60
-0.718 2.091 0.60
-0.718 2.131 0.60
-0.718 2.172 0.60
-0.718 2.212 0.60
-0.718 2.253 0.60
-0.718 2.293 0.60
-0.718 2.333 0.60
-0.718 2.374 0.60
-0.718 2.414 0.60
-0.718 2.455 0.60
-0.718 2.495 0.60
-0.718 2.535 0.60
-0.718 2.576 0.60
-0.718 2.616 0.60
-0.718 2.657 0.60
-0.718 2.697 0.60
-0.718 2.737 0.60
-0.718 2.778 0.60
-0.718 2.818 0.60
-0.718 2.859 0.60
-0.718 2.899 0.60
-0.718 2.939 0.60
-0.718 2.980 0.60
-0.718 3.020 0.60
-0.718 3.061 0.60
-0.718 3.101 0.60
-0.718 3.141 0.60
-0.718 3.182 0.60
-0.718 3.222 0.60
-0.718 3.263 0.60
-0.718 3.303 0.60
-0.718 3.343 0.60
-0.718 3.384 0.60
-0.718 3.424 0.60
-0.718 3.465 0.60
-0.718 3.505 0.60
-0.718 3.545 0.60
-0.718 3.586 0.60
-0.718 3.626 0.60
-0.718 3.667 0.60
-0.718 3.707 0.60
-0.718 3.747 0.60
-0.718 3.788 0.60
-0.718 3.828 0.60
-0.718 3.869 0.60
-0.718 3.909 0.60
-0.718 3.949 0.60
-0.718 3.990 0.60
-0.718 4.030 0.60
-0.718 4.071 0.60
-0.718 4.111 0.60
-0.718 4.152 0.60
-0.718 4.192 0.60
-0.718 4.232 0.60
-0.718 4.273 0.60
-0.718 4.313 0.60
-0.718 4.354 0.60
-0.718 4.394 0.60
-0.718 4.434 0.60
-0.718 4.475 0.60
-0.718 4.515 0.60
-0.718 4.556 0.60
-0.718 4.596 0.60
-0.718 4.636 0.60
-0.718 4.677 0.60
-0.718 4.717 0.60
-0.718 4.758 0.60
-0.718 4.798 0.60
-0.718 4.838 0.60
-0.718 4.879 0.60
-0.718 4.919 0.60
-0.718 4.960 0.60
-0.718 5.000 0.60
-0.709 1.000 0.60
-0.709 1.040 0.60
-0.709 1.081 0.60
-0.709 1.121 0.60
-0.709 1.162 0.60
-0.709 1.202 0.60
-0.709 1.242 0.60
-0.709 1.283 0.60
-0.709 1.323 0.60
-0.709 1.364 0.60
-0.709 1.404 0.60
-0.709 1.444 0.60
-0.709 1.485 0.60
-0.709 1.525 0.60
-0.709 1.566 0.60
-0.709 1.606 0.60
-0.709 1.646 0.60
-0.709 1.687 0.60
-0.709 1.727 0.60
-0.709 1.768 0.60
-0.709 1.808 0.60
-0.709 1.848 0.60
-0.709 1.889 0.60
-0.709 1.929 0.60
-0.709 1.970 0.60
-0.709 2.010 0.60
-0.709 2.051 0.60
-0.709 2.091 0.60
-0.709 2.131 0.60
-0.709 2.172 0.60
-0.709 2.212 0.60
-0.709 2.253 0.60
-0.709 2.293 0.60
-0.709 2.333 0.60
-0.709 2.374 0.60
-0.709 2.414 0.60
-0.709 2.455 0.60
-0.709 2.495 0.60
-0.709 2.535 0.60
-0.709 2.576 0.60
-0.709 2.616 0.60
-0.709 2.657 0.60
-0.709 2.697 0.60
-0.709 2.737 0.60
-0.709 2.778 0.60
-0.709 2.818 0.60
