epsilon1 epsilon2 fB
-0.836 1.323 0.10
-0.836 1.364 0.10
-0.836 1.404 0.10
-0.836 1.444 0.10
-0.836 1.485 0.10
-0.836 1.525 0.10
-0.836 1.566 0.10
-0.836 1.606 0.10
-0.836 1.646 0.10
-0.836 1.687 0.10
-0.836 1.727 0.10
-0.836 1.768 0.10
-0.836 1.808 0.10
-0.836 1.848 0.10
-0.836 1.889 0.10
-0.836 1.929 0.10
-0.836 1.970 0.10
-0.836 2.010 0.10
-0.836 2.051 0.10
-0.836 2.091 0.10
-0.836 2.131 0.10
-0.836 2.172 0.10
-0.836 2.212 0.10
-0.836 2.253 0.10
-0.836 2.293 0.10
-0.836 2.333 0.10
-0.836 2.374 0.10
-0.836 2.414 0.10
-0.836 2.455 0.10
-0.836 2.495 0.10
-0.836 2.535 0.10
-0.836 2.576 0.10
-0.836 2.616 0.10
-0.836 2.657 0.10
-0.836 2.697 0.10
-0.836 2.737 0.10
-0.836 2.778 0.10
-0.836 2.818 0.10
-0.836 2.859 0.10
-0.836 2.899 0.10
-0.836 2.939 0.10
-0.836 2.980 0.10
-0.836 3.020 0.10
-0.836 3.061 0.10
-0.836 3.101 0.10
-0.836 3.141 0.10
-0.836 3.182 0.10
-0.836 3.222 0.10
-0.836 3.263 0.10
-0.836 3.303 0.10
-0.836 3.343 0.10
-0.836 3.384 0.10
-0.836 3.424 0.10
-0.836 3.465 0.10
-0.836 3.505 0.10
-0.836 3.545 0.10
-0.836 3.586 0.10
-0.836 3.626 0.10
-0.836 3.667 0.10
-0.836 3.707 0.10
-0.836 3.747 0.10
-0.836 3.788 0.10
-0.836 3.828 0.10
-0.836 3.869 0.10
-0.836 3.909 0.10
-0.836 3.949 0.10
-0.836 3.990 0.10
-0.836 4.030 0.10
-0.836 4.071 0.10
-0.836 4.111 0.10
-0.836 4.152 0.10
-0.836 4.192 0.10
-0.836 4.232 0.10
-0.836 4.273 0.10
-0.836 4.313 0.10
-0.836 4.354 0.10
-0.836 4.394 0.10
-0.836 4.434 0.10
-0.836 4.475 0.10
-0.836 4.515 0.10
-0.836 4.556 0.10
-0.836 4.596 0.10
-0.836 4.636 0.10
-0.836 4.677 0.10
-0.836 4.717 0.10
-0.836 4.758 0.10
-0.836 4.798 0.10
-0.836 4.838 0.10
-0.836 4.879 0.10
-0.836 4.919 0.10
-0.836 4.960 0.10
-0.836 5.000 0.10
-0.827 1.000 0.10
-0.827 1.040 0.10
-0.827 1.081 0.10
-0.827 1.121 0.10
-0.827 1.162 0.10
-0.827 1.202 0.10
-0.827 1.242 0.10
-0.827 1.283 0.10
-0.827 1.323 0.10
-0.827 1.364 0.10
-0.827 1.404 0.10
-0.827 1.444 0.10
-0.827 1.485 0.10
-0.827 1.525 0.10
-0.827 1.566 0.10
-0.827 1.606 0.10
-0.827 1.646 0.10
-0.827 1.687 0.10
-0.827 1.727 0.10
-0.827 1.768 0.10
-0.827 1.808 0.10
-0.827 1.848 0.10
-0.827 1.889 0.10
-0.827 1.929 0.10
-0.827 1.970 0.10
-0.827 2.010 0.10
-0.827 2.051 0.10
-0.827 2.091 0.10
-0.827 2.131 0.10
-0.827 2.172 0.10
-0.827 2.212 0.10
-0.827 2.253 0.10
-0.827 2.293 0.10
-0.827 2.333 0.10
-0.827 2.374 0.10
-0.827 2.414 0.10
-0.827 2.455 0.10
-0.827 2.495 0.10
-0.827 2.535 0.10
-0.827 2.576 0.10
-0.827 2.616 0.10
-0.827 2.657 0.10
-0.827 2.697 0.10
-0.827 2.737 0.10
-0.827 2.778 0.10
-0.827 2.818 0.10
-0.827 2.859 0.10
-0.827 2.899 0.10
-0.827 2.939 0.10
-0.827 2.980 0.10
-0.827 3.020 0.10
-0.827 3.061 0.10
-0.827 3.101 0.10
-0.827 3.141 0.10
-0.827 3.182 0.10
-0.827 3.222 0.10
-0.827 3.263 0.10
-0.827 3.303 0.10
-0.827 3.343 0.10
-0.827 3.384 0.10
-0.827 3.424 0.10
-0.827 3.465 0.10
-0.827 3.505 0.10
-0.827 3.545 0.10
-0.827 3.586 0.10
-0.827 3.626 0.10
-0.827 3.667 0.10
-0.827 3.707 0.10
-0.827 3.747 0.10
-0.827 3.788 0.10
